144078,109335
146520,108225
148296,108336
149961,107670
152292,108114
154845,107337
158508,107004
161616,105339
164835,104784
167499,103230
170163,102453
172494,100899
174381,100455
175602,99012
176490,97791
177711,96459
179709,96348
182040,95460
184038,94794
186258,93129
188589,91353
191031,89133
192807,86358
194472,84915
196248,83361
197802,82140
199467,80142
201132,78477
203352,77034
205017,75147
207015,72150
209124,69597
210900,67488
212343,64047
214119,59940
215673,55500
217227,53058
217671,50505
219669,46953
221889,40071
223998,31302
225441,23421
225330,17871
225552,14319
224886,11211
224775,7770
223887,4329
220668,1554
217227,1776
214008,2553
213564,2553
212565,1443
212232,1221
211899,12543
212151,25587
211111,40477
209626,45600
208054,49557
207430,51095
207109,51737
207054,51846
207015,51983
206822,52657
204866,55969
201243,61050
197136,66822
190254,73704
182484,80475
172050,87357
159729,92241
145632,95571
127428,96015
112110,93240
96903,87912
88356,82917
80364,77145
76146,72594
70707,67155
67488,61938
63936,57165
61938,52614
60162,49395
59274,46398
58275,44733
56832,40182
55389,34743
54168,29304
53835,25530
53835,21867
54057,17760
55167,14874
55389,12543
55944,10212
55056,7215
54945,3996
51948,1665
49062,3219
45621,10212
45177,18537
44955,25197
46176,33855
50394,47619
55389,61938
60162,70485
63381,75369
70041,82251
77256,89133
83361,94128
89133,97680
93906,100455
98901,103341
101676,104007
105450,105783
109557,106449
113109,107892
118659,108558
123987,109779
129093,110001
131757,110223
134532,109668
137751,110112
139860,110334
142191,110001
