140859;110889
144855;108225
146520;108891
148185;107559
150183;108558
151515;106893
155178;108891
157842;106227
162504;105894
164502;103896
167499;104562
170496;101232
172494;101565
174492;99900
176157;99900
176157;97236
177156;96237
179820;95904
182151;96903
184149;93573
185814;93906
188811;91908
191142;88245
193140;87246
194139;83583
196137;83916
198468;82584
198801;79920
201132;77922
203463;77589
205461;75591
206127;72261
209457;68598
211788;67932
211455;65934
213786;58275
217116;55611
216117;52614
218448;50949
218448;47952
222111;41958
225108;30303
224775;21645
226440;18315
224775;13653
225441;10989
224442;8991
224442;3330
222777;666
214785;666
214119;3996
213120;2997
213453;666
211122;666
212121;2331
212454;34632
211879;39800
209000;47000
208000;50000
207164;51671
207126;51615
207037;51925
207000;52000
207008;52025
206460;53946
201132;61938
196137;67266
194139;71262
180486;82584
172827;87579
162837;91908
143523;97236
130536;97569
108225;93240
97569;88911
84915;81585
82584;78255
73593;71595
72261;67932
66267;61938
63936;55944
61605;53613
60273;48285
58608;46287
58941;44622
57276;43290
54279;32634
54612;28305
53613;26973
53280;21312
54612;17316
54279;14652
56610;12654
55278;10323
55944;7659
53946;3663
54945;666
46953;666
45288;8325
44622;21645
45621;25641
44622;28305
48285;47619
58275;66933
59607;71262
62604;73260
67932;81585
79587;91908
84249;93906
86247;96570
96903;102564
98568;102231
101232;105228
105228;104562
109890;107559
113553;107226
115884;108891
126540;109557
129537;110889
131202;109557
134532;110223
137862;109224
140859;110889
